checked_at_utc,platform,asset,category,yf,strategy,strategy_family,display_direction,direction_side,priority,payout_pct,signal_candle_utc,signal_candle_close_utc,exit_candle_utc,expiration_time_utc,signal_age_minutes,external_entry_price,rsi,rsi_level,bb_lower,bb_upper,adx,adx_limit,ema100_slope_pct,is_actionable,reason,is_near_signal,near_reason,near_score
2026-05-06T20:02:23.839342+00:00,Binarium,GOLD,Metal,GC=F,GOLD PUT,mean_reversion,PUT,DOWN,A,77.0,2026-05-06T19:30:00+00:00,2026-05-06T19:45:00+00:00,2026-05-06T20:00:00+00:00,2026-05-06T20:15:00+00:00,17.4,4706.2001953125,55.37800437471203,68,4690.20167714828,4710.68826425797,19.305717159974176,30,0.016691597297580074,False,no_signal,True,rsi_low,3
2026-05-06T20:02:24.522698+00:00,Binarium,GBP/USD,Forex,GBPUSD=X,GBP/USD CALL,mean_reversion,CALL,UP,A,78.0,2026-05-06T19:45:00+00:00,2026-05-06T20:00:00+00:00,2026-05-06T20:15:00+00:00,2026-05-06T20:30:00+00:00,2.41,1.3594529628753662,46.60793484029237,28,1.3588169747726087,1.3599948948486682,14.574373754820709,30,0.0008478687335111701,False,no_signal,True,rsi_high,3
2026-05-06T20:02:24.911001+00:00,Pocket Option,EUR/CAD,Forex,EURCAD=X,EUR/CAD CALL,mean_reversion,CALL,UP,A,85.0,2026-05-06T19:45:00+00:00,2026-05-06T20:00:00+00:00,2026-05-06T20:15:00+00:00,2026-05-06T20:30:00+00:00,2.42,1.6017500162124634,55.509623665015184,28,1.6010088208923086,1.6023571845283762,24.25194724025826,30,0.004753639493437767,False,no_signal,True,rsi_high,3
2026-05-06T20:02:25.202278+00:00,Pocket Option,USD/JPY,Forex,JPY=X,USD/JPY PUT,mean_reversion,PUT,DOWN,A,86.0,2026-05-06T19:45:00+00:00,2026-05-06T20:00:00+00:00,2026-05-06T20:15:00+00:00,2026-05-06T20:30:00+00:00,2.42,156.41000366210938,53.31834876540645,68,156.36370655233824,156.47489360635316,14.219434337492679,20,-0.0032174757686798117,False,no_signal,True,rsi_low,3
2026-05-06T20:02:25.481598+00:00,Pocket Option,USD/JPY,Forex,JPY=X,USD/JPY CALL,mean_reversion,CALL,UP,A,86.0,2026-05-06T19:45:00+00:00,2026-05-06T20:00:00+00:00,2026-05-06T20:15:00+00:00,2026-05-06T20:30:00+00:00,2.42,156.41000366210938,53.31834876540645,30,156.36370655233824,156.47489360635316,14.219434337492679,30,-0.0032174757686798117,False,no_signal,True,rsi_high,3
2026-05-06T20:02:25.783613+00:00,Pocket Option,GBP/USD,Forex,GBPUSD=X,GBP/USD CALL,mean_reversion,CALL,UP,B,81.0,2026-05-06T19:45:00+00:00,2026-05-06T20:00:00+00:00,2026-05-06T20:15:00+00:00,2026-05-06T20:30:00+00:00,2.43,1.3594529628753662,46.60793484029237,28,1.3588169747726087,1.3599948948486682,14.574373754820709,30,0.0008478687335111701,False,no_signal,True,rsi_high,3
2026-05-06T20:02:26.086173+00:00,Pocket Option,EUR/GBP,Forex,EURGBP=X,EUR/GBP PUT,mean_reversion,PUT,DOWN,B,86.0,2026-05-06T19:45:00+00:00,2026-05-06T20:00:00+00:00,2026-05-06T20:15:00+00:00,2026-05-06T20:30:00+00:00,2.43,0.8641899824142456,49.26432093449415,70,0.8641870261213027,0.8645449756601609,25.39297227358423,25,0.0008137831312815536,False,no_signal,True,rsi_low,3
2026-05-06T20:02:26.370471+00:00,Deriv,Gold/USD,Metal,GC=F,Gold/USD FALL,mean_reversion,FALL,DOWN,A,81.9,2026-05-06T19:30:00+00:00,2026-05-06T19:45:00+00:00,2026-05-06T20:00:00+00:00,2026-05-06T20:15:00+00:00,17.44,4706.2001953125,55.37800437471203,68,4690.20167714828,4710.68826425797,19.305717159974176,30,0.016691597297580074,False,no_signal,True,rsi_low,3
2026-05-06T20:02:26.731172+00:00,Deriv,USD/JPY,Forex,JPY=X,USD/JPY RISE,mean_reversion,RISE,UP,A,81.9,2026-05-06T19:45:00+00:00,2026-05-06T20:00:00+00:00,2026-05-06T20:15:00+00:00,2026-05-06T20:30:00+00:00,2.45,156.41000366210938,53.31834876540645,30,156.36370655233824,156.47489360635316,14.219434337492679,30,-0.0032174757686798117,False,no_signal,True,rsi_high,3
2026-05-06T20:02:27.023664+00:00,Deriv,USD/JPY,Forex,JPY=X,USD/JPY FALL,mean_reversion,FALL,DOWN,A,81.9,2026-05-06T19:45:00+00:00,2026-05-06T20:00:00+00:00,2026-05-06T20:15:00+00:00,2026-05-06T20:30:00+00:00,2.45,156.41000366210938,53.31834876540645,68,156.36370655233824,156.47489360635316,14.219434337492679,20,-0.0032174757686798117,False,no_signal,True,rsi_low,3
